nombre_carrera,universidad,tipo_universidad,ciudad,comunidad_autonoma,modalidad,duracion_años,creditos_ects,rama_conocimiento,nota_corte,plazas,idioma,url_info
Grado en Arqueología,Universidad de Jaén,Pública,Jaén,Andalucía,Presencial,4,240,Artes y Humanidades,10.2,85,Español,https://www.ujaen.es
Grado en Arqueología,Universidad de León,Pública,León,Castilla y León,Presencial,4,240,Artes y Humanidades,7.8,45,Español,https://www.unileon.es
Grado en Arqueología,Universidad de Lleida,Pública,Lleida,Cataluña,Presencial,4,240,Artes y Humanidades,10.2,80,Catalán/Español,https://www.udl.es
Grado en Arqueología,Universidad de Mondragón,Privada,Mondragón,País Vasco,Presencial,4,240,Artes y Humanidades,7.7,30,Vasco/Español,https://www.mondragon.edu
Grado en Arqueología,Universidad de Oviedo,Pública,Oviedo,Asturias,Presencial,4,240,Artes y Humanidades,10.4,50,Español,https://www.uniovi.es
Grado en Arqueología,Universidad de Salamanca,Pública,Salamanca,Castilla y León,Presencial,4,240,Artes y Humanidades,8.1,100,Español,https://www.usal.es
Grado en Arqueología,Universidad de Sevilla,Pública,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,10.4,60,Español,https://www.us.es
Grado en Arqueología,Universidad de Zaragoza,Pública,Zaragoza,Aragón,Presencial,4,240,Artes y Humanidades,9.9,85,Español,https://www.unizar.es
Grado en Arqueología,Universidad de las Islas Baleares,Pública,Palma de Mallorca,Islas Baleares,Presencial,4,240,Artes y Humanidades,10.5,90,Catalán/Español,https://www.uib.es
Grado en Bellas Artes,IE University,Privada,Segovia,Castilla y León,Presencial,4,240,Artes y Humanidades,9.2,30,Español/Inglés,https://www.ie.edu
Grado en Bellas Artes,Universidad Alfonso X el Sabio,Privada,Villanueva de la Cañada,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,8.6,50,Español,https://www.uax.es
Grado en Bellas Artes,Universidad Autónoma de Barcelona,Pública,Bellaterra,Cataluña,Presencial,4,240,Artes y Humanidades,9.7,90,Catalán/Español,https://www.uab.cat
Grado en Bellas Artes,Universidad Autónoma de Madrid,Pública,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,11.7,65,Español,https://www.uam.es
Grado en Bellas Artes,Universidad CEU Cardenal Herrera,Privada,Valencia,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,9.1,45,Español,https://www.uchceu.es
Grado en Bellas Artes,Universidad CEU San Pablo,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.3,45,Español/Inglés,https://www.uspceu.com
Grado en Bellas Artes,Universidad Carlos III de Madrid,Pública,Getafe,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,12.3,75,Español/Inglés,https://www.uc3m.es
Grado en Bellas Artes,Universidad Católica de Murcia (UCAM),Privada,Murcia,Región de Murcia,Presencial,4,240,Artes y Humanidades,8.6,55,Español/Inglés,https://www.ucam.edu
Grado en Bellas Artes,Universidad Católica de Valencia,Privada,Valencia,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,9.3,30,Español,https://www.ucv.es
Grado en Bellas Artes,Universidad Complutense de Madrid,Pública,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.2,75,Español,https://www.ucm.es
Grado en Bellas Artes,Universidad Francisco de Vitoria,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,11.4,35,Español/Inglés,https://www.ufv.es
Grado en Bellas Artes,Universidad Internacional de Cataluña,Privada,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,11.8,65,Español/Inglés,https://www.uic.es
Grado en Bellas Artes,Universidad Jaume I,Pública,Castellón de la Plana,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,11.9,75,Valenciano/Español,https://www.uji.es
Grado en Bellas Artes,Universidad Loyola Andalucía,Privada,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,10.6,65,Español/Inglés,https://www.uloyola.es
Grado en Bellas Artes,Universidad Miguel Hernández,Pública,Elche,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,11.4,100,Valenciano/Español,https://www.umh.es
Grado en Bellas Artes,Universidad Nebrija,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,11.2,40,Español/Inglés,https://www.nebrija.es
Grado en Bellas Artes,Universidad Pablo de Olavide,Pública,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,10.6,75,Español,https://www.upo.es
Grado en Bellas Artes,Universidad Politécnica de Cartagena,Pública,Cartagena,Región de Murcia,Presencial,4,240,Artes y Humanidades,9.0,90,Español,https://www.upct.es
Grado en Bellas Artes,Universidad Politécnica de Cataluña,Pública,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,10.5,75,Catalán/Español,https://www.upc.edu
Grado en Bellas Artes,Universidad Politécnica de Madrid,Pública,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,11.5,85,Español/Inglés,https://www.upm.es
Grado en Bellas Artes,Universidad Politécnica de Valencia,Pública,Valencia,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,11.7,100,Valenciano/Español,https://www.upv.es
Grado en Bellas Artes,Universidad Pompeu Fabra,Pública,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,11.7,105,Catalán/Español/Inglés,https://www.upf.edu
Grado en Bellas Artes,Universidad Pontificia Comillas,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,9.2,60,Español/Inglés,https://www.comillas.edu
Grado en Bellas Artes,Universidad Pública de Navarra,Pública,Pamplona,Navarra,Presencial,4,240,Artes y Humanidades,11.2,105,Español/Vasco,https://www.unavarra.es
Grado en Bellas Artes,Universidad Rey Juan Carlos,Pública,Móstoles,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,9.2,110,Español,https://www.urjc.es
Grado en Bellas Artes,Universidad Rovira i Virgili,Pública,Tarragona,Cataluña,Presencial,4,240,Artes y Humanidades,11.4,70,Catalán/Español,https://www.urv.cat
Grado en Bellas Artes,Universidad San Jorge,Privada,Zaragoza,Aragón,Presencial,4,240,Artes y Humanidades,8.6,45,Español/Inglés,https://www.usj.es
Grado en Bellas Artes,Universidad de A Coruña,Pública,A Coruña,Galicia,Presencial,4,240,Artes y Humanidades,9.9,70,Gallego/Español,https://www.udc.es
Grado en Bellas Artes,Universidad de Alcalá,Pública,Alcalá de Henares,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,11.4,100,Español,https://www.uah.es
Grado en Bellas Artes,Universidad de Alicante,Pública,Alicante,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,9.6,55,Valenciano/Español,https://www.ua.es
Grado en Bellas Artes,Universidad de Almería,Pública,Almería,Andalucía,Presencial,4,240,Artes y Humanidades,11.3,55,Español,https://www.ual.es
Grado en Bellas Artes,Universidad de Barcelona,Pública,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,11.8,100,Catalán/Español,https://www.ub.edu
Grado en Bellas Artes,Universidad de Burgos,Pública,Burgos,Castilla y León,Presencial,4,240,Artes y Humanidades,11.5,120,Español,https://www.ubu.es
Grado en Bellas Artes,Universidad de Cantabria,Pública,Santander,Cantabria,Presencial,4,240,Artes y Humanidades,10.8,110,Español,https://www.unican.es
Grado en Bellas Artes,Universidad de Castilla-La Mancha,Pública,Ciudad Real,Castilla-La Mancha,Presencial,4,240,Artes y Humanidades,11.5,105,Español,https://www.uclm.es
Grado en Bellas Artes,Universidad de Cádiz,Pública,Cádiz,Andalucía,Presencial,4,240,Artes y Humanidades,9.1,70,Español,https://www.uca.es
Grado en Bellas Artes,Universidad de Córdoba,Pública,Córdoba,Andalucía,Presencial,4,240,Artes y Humanidades,8.6,85,Español,https://www.uco.es
Grado en Bellas Artes,Universidad de Deusto,Privada,Bilbao,País Vasco,Presencial,4,240,Artes y Humanidades,11.6,65,Español/Inglés,https://www.deusto.es
Grado en Bellas Artes,Universidad de Extremadura,Pública,Badajoz,Extremadura,Presencial,4,240,Artes y Humanidades,10.5,105,Español,https://www.unex.es
Grado en Bellas Artes,Universidad de Girona,Pública,Girona,Cataluña,Presencial,4,240,Artes y Humanidades,10.4,90,Catalán/Español,https://www.udg.edu
Grado en Bellas Artes,Universidad de Granada,Pública,Granada,Andalucía,Presencial,4,240,Artes y Humanidades,8.5,60,Español,https://www.ugr.es
Grado en Bellas Artes,Universidad de Huelva,Pública,Huelva,Andalucía,Presencial,4,240,Artes y Humanidades,11.6,70,Español,https://www.uhu.es
Grado en Bellas Artes,Universidad de Jaén,Pública,Jaén,Andalucía,Presencial,4,240,Artes y Humanidades,8.6,100,Español,https://www.ujaen.es
Grado en Bellas Artes,Universidad de La Laguna,Pública,San Cristóbal de La Laguna,Islas Canarias,Presencial,4,240,Artes y Humanidades,9.0,75,Español,https://www.ull.es
Grado en Bellas Artes,Universidad de La Rioja,Pública,Logroño,La Rioja,Presencial,4,240,Artes y Humanidades,10.2,105,Español,https://www.unirioja.es
Grado en Bellas Artes,Universidad de Las Palmas de Gran Canaria,Pública,Las Palmas de G.C.,Islas Canarias,Presencial,4,240,Artes y Humanidades,9.5,100,Español,https://www.ulpgc.es
Grado en Bellas Artes,Universidad de León,Pública,León,Castilla y León,Presencial,4,240,Artes y Humanidades,9.2,95,Español,https://www.unileon.es
Grado en Bellas Artes,Universidad de Lleida,Pública,Lleida,Cataluña,Presencial,4,240,Artes y Humanidades,9.6,80,Catalán/Español,https://www.udl.es
Grado en Bellas Artes,Universidad de Mondragón,Privada,Mondragón,País Vasco,Presencial,4,240,Artes y Humanidades,8.6,65,Vasco/Español,https://www.mondragon.edu
Grado en Bellas Artes,Universidad de Murcia,Pública,Murcia,Región de Murcia,Presencial,4,240,Artes y Humanidades,11.8,85,Español,https://www.um.es
Grado en Bellas Artes,Universidad de Málaga,Pública,Málaga,Andalucía,Presencial,4,240,Artes y Humanidades,9.5,100,Español,https://www.uma.es
Grado en Bellas Artes,Universidad de Navarra,Privada,Pamplona,Navarra,Presencial,4,240,Artes y Humanidades,9.3,55,Español/Inglés,https://www.unav.edu
Grado en Bellas Artes,Universidad de Oviedo,Pública,Oviedo,Asturias,Presencial,4,240,Artes y Humanidades,9.5,90,Español,https://www.uniovi.es
Grado en Bellas Artes,Universidad de Salamanca,Pública,Salamanca,Castilla y León,Presencial,4,240,Artes y Humanidades,10.9,100,Español,https://www.usal.es
Grado en Bellas Artes,Universidad de Santiago de Compostela,Pública,Santiago de Compostela,Galicia,Presencial,4,240,Artes y Humanidades,8.5,105,Gallego/Español,https://www.usc.gal
Grado en Bellas Artes,Universidad de Sevilla,Pública,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,10.9,95,Español,https://www.us.es
Grado en Bellas Artes,Universidad de Valencia,Pública,Valencia,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,9.1,120,Valenciano/Español,https://www.uv.es
Grado en Bellas Artes,Universidad de Valladolid,Pública,Valladolid,Castilla y León,Presencial,4,240,Artes y Humanidades,11.2,105,Español,https://www.uva.es
Grado en Bellas Artes,Universidad de Vigo,Pública,Vigo,Galicia,Presencial,4,240,Artes y Humanidades,9.1,100,Gallego/Español,https://www.uvigo.gal
Grado en Bellas Artes,Universidad de Zaragoza,Pública,Zaragoza,Aragón,Presencial,4,240,Artes y Humanidades,10.0,100,Español,https://www.unizar.es
Grado en Bellas Artes,Universidad de las Islas Baleares,Pública,Palma de Mallorca,Islas Baleares,Presencial,4,240,Artes y Humanidades,10.0,115,Catalán/Español,https://www.uib.es
Grado en Bellas Artes,Universidad del País Vasco,Pública,Bilbao,País Vasco,Presencial,4,240,Artes y Humanidades,9.2,55,Vasco/Español,https://www.ehu.eus
Grado en Comunicación Cultural,Universidad Católica de Murcia (UCAM),Privada,Murcia,Región de Murcia,Presencial,4,240,Artes y Humanidades,9.7,50,Español/Inglés,https://www.ucam.edu
Grado en Comunicación Cultural,Universidad Loyola Andalucía,Privada,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,9.8,55,Español/Inglés,https://www.uloyola.es
Grado en Comunicación Cultural,Universidad Politécnica de Cartagena,Pública,Cartagena,Región de Murcia,Presencial,4,240,Artes y Humanidades,8.4,90,Español,https://www.upct.es
Grado en Comunicación Cultural,Universidad Politécnica de Madrid,Pública,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.4,55,Español/Inglés,https://www.upm.es
Grado en Comunicación Cultural,Universidad Pompeu Fabra,Pública,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,8.3,100,Catalán/Español/Inglés,https://www.upf.edu
Grado en Comunicación Cultural,Universidad Rovira i Virgili,Pública,Tarragona,Cataluña,Presencial,4,240,Artes y Humanidades,8.5,85,Catalán/Español,https://www.urv.cat
Grado en Comunicación Cultural,Universidad San Jorge,Privada,Zaragoza,Aragón,Presencial,4,240,Artes y Humanidades,9.1,50,Español/Inglés,https://www.usj.es
Grado en Comunicación Cultural,Universidad de A Coruña,Pública,A Coruña,Galicia,Presencial,4,240,Artes y Humanidades,7.5,45,Gallego/Español,https://www.udc.es
Grado en Comunicación Cultural,Universidad de Alcalá,Pública,Alcalá de Henares,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,9.0,45,Español,https://www.uah.es
Grado en Comunicación Cultural,Universidad de Castilla-La Mancha,Pública,Ciudad Real,Castilla-La Mancha,Presencial,4,240,Artes y Humanidades,8.0,55,Español,https://www.uclm.es
Grado en Comunicación Cultural,Universidad de La Laguna,Pública,San Cristóbal de La Laguna,Islas Canarias,Presencial,4,240,Artes y Humanidades,9.0,90,Español,https://www.ull.es
Grado en Comunicación Cultural,Universidad de Murcia,Pública,Murcia,Región de Murcia,Presencial,4,240,Artes y Humanidades,9.5,50,Español,https://www.um.es
Grado en Comunicación Cultural,Universidad de Navarra,Privada,Pamplona,Navarra,Presencial,4,240,Artes y Humanidades,8.3,40,Español/Inglés,https://www.unav.edu
Grado en Comunicación Cultural,Universidad de Sevilla,Pública,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,7.7,60,Español,https://www.us.es
Grado en Comunicación Cultural,Universidad de Zaragoza,Pública,Zaragoza,Aragón,Presencial,4,240,Artes y Humanidades,8.8,90,Español,https://www.unizar.es
Grado en Estudios Ingleses,IE University,Privada,Segovia,Castilla y León,Presencial,4,240,Artes y Humanidades,9.8,70,Español/Inglés,https://www.ie.edu
Grado en Estudios Ingleses,Universidad Alfonso X el Sabio,Privada,Villanueva de la Cañada,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.6,75,Español,https://www.uax.es
Grado en Estudios Ingleses,Universidad Autónoma de Barcelona,Pública,Bellaterra,Cataluña,Presencial,4,240,Artes y Humanidades,11.3,160,Catalán/Español,https://www.uab.cat
Grado en Estudios Ingleses,Universidad Autónoma de Madrid,Pública,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.3,95,Español,https://www.uam.es
Grado en Estudios Ingleses,Universidad CEU Cardenal Herrera,Privada,Valencia,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,8.9,55,Español,https://www.uchceu.es
Grado en Estudios Ingleses,Universidad CEU San Pablo,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,9.8,75,Español/Inglés,https://www.uspceu.com
Grado en Estudios Ingleses,Universidad Carlos III de Madrid,Pública,Getafe,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,11.8,150,Español/Inglés,https://www.uc3m.es
Grado en Estudios Ingleses,Universidad Católica de Murcia (UCAM),Privada,Murcia,Región de Murcia,Presencial,4,240,Artes y Humanidades,11.4,90,Español/Inglés,https://www.ucam.edu
Grado en Estudios Ingleses,Universidad Católica de Valencia,Privada,Valencia,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,10.3,90,Español,https://www.ucv.es
Grado en Estudios Ingleses,Universidad Complutense de Madrid,Pública,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,11.0,105,Español,https://www.ucm.es
Grado en Estudios Ingleses,Universidad Francisco de Vitoria,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,8.1,40,Español/Inglés,https://www.ufv.es
Grado en Estudios Ingleses,Universidad Internacional de Cataluña,Privada,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,8.5,50,Español/Inglés,https://www.uic.es
Grado en Estudios Ingleses,Universidad Jaume I,Pública,Castellón de la Plana,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,10.1,130,Valenciano/Español,https://www.uji.es
Grado en Estudios Ingleses,Universidad Loyola Andalucía,Privada,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,10.8,65,Español/Inglés,https://www.uloyola.es
Grado en Estudios Ingleses,Universidad Miguel Hernández,Pública,Elche,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,8.9,155,Valenciano/Español,https://www.umh.es
Grado en Estudios Ingleses,Universidad Nebrija,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,11.2,85,Español/Inglés,https://www.nebrija.es
Grado en Estudios Ingleses,Universidad Pablo de Olavide,Pública,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,11.2,105,Español,https://www.upo.es
Grado en Estudios Ingleses,Universidad Politécnica de Cartagena,Pública,Cartagena,Región de Murcia,Presencial,4,240,Artes y Humanidades,11.3,130,Español,https://www.upct.es
Grado en Estudios Ingleses,Universidad Politécnica de Cataluña,Pública,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,10.6,90,Catalán/Español,https://www.upc.edu
Grado en Estudios Ingleses,Universidad Politécnica de Madrid,Pública,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,9.0,130,Español/Inglés,https://www.upm.es
Grado en Estudios Ingleses,Universidad Politécnica de Valencia,Pública,Valencia,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,9.4,120,Valenciano/Español,https://www.upv.es
Grado en Estudios Ingleses,Universidad Pompeu Fabra,Pública,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,10.0,130,Catalán/Español/Inglés,https://www.upf.edu
Grado en Estudios Ingleses,Universidad Pontificia Comillas,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,9.7,55,Español/Inglés,https://www.comillas.edu
Grado en Estudios Ingleses,Universidad Pública de Navarra,Pública,Pamplona,Navarra,Presencial,4,240,Artes y Humanidades,10.8,70,Español/Vasco,https://www.unavarra.es
Grado en Estudios Ingleses,Universidad Rey Juan Carlos,Pública,Móstoles,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.2,125,Español,https://www.urjc.es
Grado en Estudios Ingleses,Universidad Rovira i Virgili,Pública,Tarragona,Cataluña,Presencial,4,240,Artes y Humanidades,8.1,145,Catalán/Español,https://www.urv.cat
Grado en Estudios Ingleses,Universidad San Jorge,Privada,Zaragoza,Aragón,Presencial,4,240,Artes y Humanidades,8.6,80,Español/Inglés,https://www.usj.es
Grado en Estudios Ingleses,Universidad de A Coruña,Pública,A Coruña,Galicia,Presencial,4,240,Artes y Humanidades,11.5,70,Gallego/Español,https://www.udc.es
Grado en Estudios Ingleses,Universidad de Alcalá,Pública,Alcalá de Henares,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,8.1,160,Español,https://www.uah.es
Grado en Estudios Ingleses,Universidad de Alicante,Pública,Alicante,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,9.9,140,Valenciano/Español,https://www.ua.es
Grado en Estudios Ingleses,Universidad de Almería,Pública,Almería,Andalucía,Presencial,4,240,Artes y Humanidades,11.0,105,Español,https://www.ual.es
Grado en Estudios Ingleses,Universidad de Barcelona,Pública,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,9.2,155,Catalán/Español,https://www.ub.edu
Grado en Estudios Ingleses,Universidad de Burgos,Pública,Burgos,Castilla y León,Presencial,4,240,Artes y Humanidades,10.0,130,Español,https://www.ubu.es
Grado en Estudios Ingleses,Universidad de Cantabria,Pública,Santander,Cantabria,Presencial,4,240,Artes y Humanidades,10.8,140,Español,https://www.unican.es
Grado en Estudios Ingleses,Universidad de Castilla-La Mancha,Pública,Ciudad Real,Castilla-La Mancha,Presencial,4,240,Artes y Humanidades,8.6,160,Español,https://www.uclm.es
Grado en Estudios Ingleses,Universidad de Cádiz,Pública,Cádiz,Andalucía,Presencial,4,240,Artes y Humanidades,10.3,160,Español,https://www.uca.es
Grado en Estudios Ingleses,Universidad de Córdoba,Pública,Córdoba,Andalucía,Presencial,4,240,Artes y Humanidades,8.5,110,Español,https://www.uco.es
Grado en Estudios Ingleses,Universidad de Deusto,Privada,Bilbao,País Vasco,Presencial,4,240,Artes y Humanidades,10.1,40,Español/Inglés,https://www.deusto.es
Grado en Estudios Ingleses,Universidad de Extremadura,Pública,Badajoz,Extremadura,Presencial,4,240,Artes y Humanidades,8.4,105,Español,https://www.unex.es
Grado en Estudios Ingleses,Universidad de Girona,Pública,Girona,Cataluña,Presencial,4,240,Artes y Humanidades,9.6,110,Catalán/Español,https://www.udg.edu
Grado en Estudios Ingleses,Universidad de Granada,Pública,Granada,Andalucía,Presencial,4,240,Artes y Humanidades,10.4,100,Español,https://www.ugr.es
Grado en Estudios Ingleses,Universidad de Huelva,Pública,Huelva,Andalucía,Presencial,4,240,Artes y Humanidades,10.8,100,Español,https://www.uhu.es
Grado en Estudios Ingleses,Universidad de Jaén,Pública,Jaén,Andalucía,Presencial,4,240,Artes y Humanidades,8.8,135,Español,https://www.ujaen.es
Grado en Estudios Ingleses,Universidad de La Laguna,Pública,San Cristóbal de La Laguna,Islas Canarias,Presencial,4,240,Artes y Humanidades,11.5,105,Español,https://www.ull.es
Grado en Estudios Ingleses,Universidad de La Rioja,Pública,Logroño,La Rioja,Presencial,4,240,Artes y Humanidades,8.7,85,Español,https://www.unirioja.es
Grado en Estudios Ingleses,Universidad de Las Palmas de Gran Canaria,Pública,Las Palmas de G.C.,Islas Canarias,Presencial,4,240,Artes y Humanidades,11.4,145,Español,https://www.ulpgc.es
Grado en Estudios Ingleses,Universidad de León,Pública,León,Castilla y León,Presencial,4,240,Artes y Humanidades,10.2,115,Español,https://www.unileon.es
Grado en Estudios Ingleses,Universidad de Lleida,Pública,Lleida,Cataluña,Presencial,4,240,Artes y Humanidades,11.0,110,Catalán/Español,https://www.udl.es
Grado en Estudios Ingleses,Universidad de Mondragón,Privada,Mondragón,País Vasco,Presencial,4,240,Artes y Humanidades,10.9,50,Vasco/Español,https://www.mondragon.edu
Grado en Estudios Ingleses,Universidad de Murcia,Pública,Murcia,Región de Murcia,Presencial,4,240,Artes y Humanidades,10.9,100,Español,https://www.um.es
Grado en Estudios Ingleses,Universidad de Málaga,Pública,Málaga,Andalucía,Presencial,4,240,Artes y Humanidades,11.0,155,Español,https://www.uma.es
Grado en Estudios Ingleses,Universidad de Navarra,Privada,Pamplona,Navarra,Presencial,4,240,Artes y Humanidades,11.4,80,Español/Inglés,https://www.unav.edu
Grado en Estudios Ingleses,Universidad de Oviedo,Pública,Oviedo,Asturias,Presencial,4,240,Artes y Humanidades,9.5,110,Español,https://www.uniovi.es
Grado en Estudios Ingleses,Universidad de Salamanca,Pública,Salamanca,Castilla y León,Presencial,4,240,Artes y Humanidades,11.5,85,Español,https://www.usal.es
Grado en Estudios Ingleses,Universidad de Santiago de Compostela,Pública,Santiago de Compostela,Galicia,Presencial,4,240,Artes y Humanidades,11.0,60,Gallego/Español,https://www.usc.gal
Grado en Estudios Ingleses,Universidad de Sevilla,Pública,Sevilla,Andalucía,Presencial,4,240,Artes y Humanidades,8.8,135,Español,https://www.us.es
Grado en Estudios Ingleses,Universidad de Valencia,Pública,Valencia,Comunidad Valenciana,Presencial,4,240,Artes y Humanidades,11.2,80,Valenciano/Español,https://www.uv.es
Grado en Estudios Ingleses,Universidad de Valladolid,Pública,Valladolid,Castilla y León,Presencial,4,240,Artes y Humanidades,11.4,95,Español,https://www.uva.es
Grado en Estudios Ingleses,Universidad de Vigo,Pública,Vigo,Galicia,Presencial,4,240,Artes y Humanidades,8.7,70,Gallego/Español,https://www.uvigo.gal
Grado en Estudios Ingleses,Universidad de Zaragoza,Pública,Zaragoza,Aragón,Presencial,4,240,Artes y Humanidades,10.2,160,Español,https://www.unizar.es
Grado en Estudios Ingleses,Universidad de las Islas Baleares,Pública,Palma de Mallorca,Islas Baleares,Presencial,4,240,Artes y Humanidades,11.1,120,Catalán/Español,https://www.uib.es
Grado en Estudios Ingleses,Universidad del País Vasco,Pública,Bilbao,País Vasco,Presencial,4,240,Artes y Humanidades,11.3,130,Vasco/Español,https://www.ehu.eus
Grado en Estudios Árabes e Islámicos,Universidad Autónoma de Barcelona,Pública,Bellaterra,Cataluña,Presencial,4,240,Artes y Humanidades,9.8,50,Catalán/Español,https://www.uab.cat
Grado en Estudios Árabes e Islámicos,Universidad Autónoma de Madrid,Pública,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.3,45,Español,https://www.uam.es
Grado en Estudios Árabes e Islámicos,Universidad CEU San Pablo,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.3,20,Español/Inglés,https://www.uspceu.com
Grado en Estudios Árabes e Islámicos,Universidad Católica de Murcia (UCAM),Privada,Murcia,Región de Murcia,Presencial,4,240,Artes y Humanidades,8.8,20,Español/Inglés,https://www.ucam.edu
Grado en Estudios Árabes e Islámicos,Universidad Internacional de Cataluña,Privada,Barcelona,Cataluña,Presencial,4,240,Artes y Humanidades,9.9,30,Español/Inglés,https://www.uic.es
Grado en Estudios Árabes e Islámicos,Universidad Pontificia Comillas,Privada,Madrid,Comunidad de Madrid,Presencial,4,240,Artes y Humanidades,10.2,35,Español/Inglés,https://www.comillas.edu
